abadžija	âbadʒija
abaiti	abaiti
abaja	abǎja
abaja	abǎːja
abak	ǎbak
abakus	ǎbakus
abažur	abǎʒuːr
abdes	ǎbdes
abdest	ǎbdest
abdicirati	abditsǐːrati
abdikacija	abdikǎːtsija
abdikant	abdǐkant
abdomen	abdǒːmen
abdomenski	abdǒːmenskiː
abdominalan	âbdominaːlan
abeceda	abetsěːda
abecedar	abetsědaːr
abecedarij	abetsědaːrij
abecedni	âbetseːdniː
abel	ǎːbel
aber	ǎber
abesinac	abesǐːnats
abesinija	abesǐːnija
abesinski	aběsinskiː
abhaski	ǎbxaːskiː
abhaz	ǎbxaːz
abhazija	ǎbxaːzija
abhažanka	abxǎʒaːnka
abidjan	ǎbidʒan
abidjanski	abǐdʒanskiː
abidžan	ǎbidʒan
ablacija	ablǎːtsija
ablativ	âblatiʋ
ablaut	ǎblaut
abnormalan	âbnormaːlan
abnormalno	âbnormaːlno
abnormalnost	abnormǎːlnoːst
abolicija	abolǐːtsija
abolicijski	abolǐːtsiːjskiː
abonent	abǒnent
abonirac	abonǐːrats
abonirati	abonǐːrati
abonman	abǒnmaːn
aboridžinica	aborǐdʒinitsa
abortirati	abortǐːrati
abrazija	abrǎːzija
abrazivan	âbraziːʋan
abrevijacija	abreʋijǎːtsija
acetat	atsětaːt
acetilen	atsetǐleːn
aceton	atsětoːn
ada	ǎda
ada	ǎːda
adam	ǎdam
adaptacija	adaptǎːtsija
adaptirati	adaptǐːrati
adekvatan	âdekʋaːtan
adekvatno	âdekʋaːtno
adekvatnost	adekʋǎːtnoːst
aden	âːden
adenski	ǎːdenskiː
adet	ǎːdet
adherent	adxěrent
adicija	adǐːtsija
adijabatski	adijǎbatskiː
adio	adîo
adio	ǎdio
adisabebski	adisǎbebskiː
adjektiv	âdjektiːʋ
adjunkt	ǎdjunkt
adjustaža	adjustǎːʒa
adjustirati	adjustǐːrati
administracija	administrǎːtsija
administrativan	âdministratiːʋan
administrativka	administrǎtiːʋka
administrator	adminǐstraːtor
admiral	admǐraːl
admiralitet	admiralǐteːt
admitancija	admitǎntsija
adneks	ǎdneks
adolescencija	adolestsěntsija
adolescentica	adolěstsentitsa
adonis	âdonis
adopcija	adǒptsija
adoptacija	adoptǎːtsija
adoptirati	adoptǐːrati
adoracija	adorǎːtsija
adorati	adǒrati
adorator	adǒraːtor
adoratorica	adǒraːtoritsa
adorirati	adorǐːrati
adrenalin	adrenǎliːn
adrenalinski	adrenǎliːnskiː
adresa	adrěsa
adresant	adrěsant
adresar	adrěsaːr
adresat	adrěsaːt
adresirati	adresǐːrati
adsorpcija	adsǒrptsija
adsorpcijski	adsǒrptsiːjskiː
adut	ǎduːt
advent	ǎdʋent
adventist	adʋěntist
adventistica	adʋěntistitsa
adventistički	adʋentǐstitʃki
adventistički	adʋentǐstitʃkiː
adventistkinja	adʋěntistkiɲa
adverb	ǎdʋerb
adverban	ǎdʋerban
adverbijalan	âdʋerbijaːlan
advokat	adʋǒkaːt
advokatski	adʋǒkaːtski
adžuvan	adʒǔʋaːn
aeroban	âeroːban
aerobik	aerǒbik
aerobika	aerǒbika
aerobiologija	aerobiolǒgija
aerobički	aerǒbitʃkiː
aerodinamika	aerodinǎmika
aerodinamičan	aerodinǎmitʃan
aerodinamički	aerodinǎmitʃkiː
aerodrom	aerǒdrom
aerodromski	aerǒdromskiː
aerografija	aerogrǎfija
aerolit	aerǒliːt
aerologija	aerolǒgija
aeromehanika	aeromexǎnika
aeromehaničar	aeromexǎnitʃar
aeroplanski	âeroplaːnski
aeroplanski	âeroplaːnskiː
aerosol	âerosoːl
afekt	ǎfekt
afektacija	afektǎːtsija
afektirati	afektǐːrati
afel	ǎfel
afera	afěːra
afereza	afěreza
aferim	afěrim
afganistan	afganǐstaːn
afganistanski	afganǐstaːnskiː
afiks	ǎfiks
afinitet	afinǐteːt
afirmacija	afirmǎːtsija
afirmativan	âfirmatiːʋan
afirmativno	âfirmatiːʋno
afirmiran	afǐrmiːraːn
afirmirati	afirmǐːrati
aforist	afǒrist
aforistički	aforǐstitʃkiː
aforizam	aforǐzam
afrika	ǎfrika
afrikanac	afrikǎːnats
afrikanizacija	afrikanizǎːtsija
afrikanizam	afrikanǐzam
afrikanka	afrǐkaːnka
afrikanski	afrǐkaːnskiː
afrikata	afrikǎːta
afričanka	afrǐtʃaːnka
afrički	ǎfritʃkiː
afrodita	afrǒdita
afrodizijak	afrodǐzijak
aga	ǎga
agami	agǎːmi
agencija	agěntsija
agent	ǎgent
agilan	âgiːlan
agilno	âgiːlno
agilnost	agǐːlnoːst
agitacija	agitǎːtsija
agitator	agǐtaːtor
agitirati	agitǐːrati
aglomeracija	aglomerǎːtsija
aglomerat	agloměraːt
aglutinacija	aglutinǎːtsija
aglutinativan	âglutinatiːʋan
agnostik	agnǒstik
agnostičar	agnǒstitʃaːr
agnostičarka	agnǒstitʃaːrka
agnostički	agnǒstitʃkiː
agogičan	agǒgitʃan
agonija	agǒnija
agrarni	ǎgraːrniː
agregatni	agrěgaːtniː
agresija	agrěsija
agresivan	âgresiːʋan
agresivno	âgresiːʋno
agresor	ǎgresor
agresorski	ǎgresorskiː
agrobiologija	agrobiolǒgija
agrologija	agrolǒgija
agronom	agrǒnom
agronomija	agronǒmija
agronomski	agrǒnomski
agronomski	agrǒnomskiː
agrostologija	agrostolǒgija
agrotehnički	agrotěxnitʃki
agrotehnički	agrotěxnitʃkiː
agroturizam	agroturǐzam
ahat	âxaːt
ahbab	ǎxbaːb
ahil	ǎxil
ahiret	ǎːxiret
ajam	ǎːjam
ajatolah	ajatǒlax
ajde	ǎjde
ajkula	âjkula
ajme	ǎjme
ajmeh	ǎjmex
ajmo	ǎjmo
ajvar	ǎjʋaːr
akademija	akaděmija
akademijski	akaděmiːjskiː
akademik	akaděmik
akademičarski	akaděmitʃaːrski
akademičarski	akaděmitʃaːrskiː
akademski	akǎdemski
akademski	akǎdemskiː
akadski	ǎkaːdskiː
akamoli	akâmoli
akceleracija	aktselerǎːtsija
akcelerator	aktselěraːtor
akcenat	ǎktsenat
akcent	ǎktsent
akcentirati	aktsentǐːrati
akceptor	ǎktseptor
akcija	ǎktsija
akcijski	ǎktsiːjskiː
aklamacija	aklamǎːtsija
aklimatizacija	aklimatizǎːtsija
aklimatizacijski	aklimatizǎːtsiːjskiː
aklimatizacioni	âklimatizatsioːniː
aklimatizirati	aklimatizǐːrati
ako	âko
akomodacija	akomodǎːtsija
akomodirati	akomodǐːrati
akontacija	akontǎːtsija
akontirati	akontǐːrati
akonto	akǒnto
akoprem	âkoprem
akord	ǎkord
akov	ǎkoʋ
akra	âkra
akreditiv	akredǐtiːʋ
akrobat	akrǒbat
akrobatika	akrobǎtika
akrobatski	akrǒbatski
akrobatski	akrǒbatskiː
akronim	akrǒnim
akropola	akrǒpola
akrostih	âkrostix
aksiologija	aksiolǒgija
aksiom	aksǐoːm
akt	âkt
akter	ǎkteːr
aktinologija	aktinolǒgija
aktiva	aktǐːʋa
aktivacija	aktiʋǎːtsija
aktivan	âktiːʋan
aktivirati	aktiʋǐːrati
aktivist	aktǐʋist
aktivistkinja	aktǐʋistkiɲa
aktivizam	aktiʋǐzam
aktivizirati	aktiʋizǐːrati
aktivno	âktiːʋno
aktivnost	aktǐːʋnoːst
aktovka	âktoːʋka
aktualan	âktuaːlan
aktualizam	aktualǐzam
aktualizirati	aktualizǐːrati
aktuelan	âktueːlan
akulturacija	akulturǎːtsija
akumulacija	akumulǎːtsija
akumulator	akumǔlaːtor
akumulatorski	akumulâtorskiː
akumulatorski	akumǔlaːtorskiː
akumulirati	akumulǐːrati
akupunktura	akupunktǔːra
akustika	akǔstika
akustičan	akǔstitʃan
akustički	akǔstitʃkiː
akutan	âkuːtan
akuzativ	âkuzatiːʋ
akvarel	akʋǎrel
akvarelistički	akʋarelǐstitʃki
akvarelistički	akʋarelǐstitʃkiː
akvila	âːkʋila
akvizicija	akʋizǐːtsija
akšam	ǎkʃam
ala	ǎla
ala	ǎːla
alabama	alabǎma
alakati	alǎːkati
alarm	ǎlarm
alarmantan	alarmǎntan
alarmantno	alarmǎntno
alarmni	ǎlarmniː
alat	ǎlaːt
alatni	ǎlaːtniː
albanac	albǎːnats
albanija	ǎlbaːnija
albanizacija	albanizǎːtsija
albanizirati	albanizǐːrati
albanka	ǎlbaːnka
albanolog	albanǒlog
albanologija	albanolǒgija
albanologijski	albanolǒgiːjskiː
albanološki	albanǒloʃki
albanološki	albanǒloʃkiː
albanološkinja	albanǒloʃkiɲa
albanski	ǎlbaːnski
albanski	ǎlbaːnskiː
albatros	ǎlbatros
albin	ǎlbiːn
albinizam	albinǐzam
album	ǎlbuːm
ale	âle
alegorija	alegǒrija
alegoričan	alegǒritʃan
aleksandar	alěksaːndar
aleksandrija	aleksǎndrija
alem	ǎlem
alem	ǎːlem
alergičan	alěrgitʃan
alergičar	alěrgitʃar
alergično	alěrgitʃno
alergičnost	alěrgitʃnoːst
alergolog	alergǒlog
alergologija	alergolǒgija
alergologijski	alergolǒgiːjskiː
alergološki	alergǒloʃki
alergološki	alergǒloʃkiː
aleutski	alěutskiː
alfa	âlfa
alfabet	alfǎbeːt
alfabetizam	alfabetǐzam
alfabetski	alfǎbeːtskiː
algebarski	ǎlgeːbarski
algebarski	ǎlgeːbarskiː
algebra	ǎlgeːbra
algologija	algolǒgija
algonkijski	algǒnkiːjskiː
algoritam	algorǐtam
alhamiado	alxamiǎːdo
ali	âli
aligator	alǐgaːtor
alijansa	alǐjansa
alijenacija	alijenǎːtsija
aliteracija	aliterǎːtsija
aljamiado	aʎamiado
aljaska	ǎʎaska
aljaski	ǎʎaskiː
aljkav	âʎkaʋ
aljkavo	âʎkaʋo
aljkavost	âʎkaʋoːst
alka	âːlka
alkaloid	alkalǒiːd
alkohol	ǎlkoxol
alkoholizam	alkoxolǐzam
alkoholiziran	alkoxolǐziːran
alkoholizirati	alkoxolizǐːrati
alkoholičar	alkoxǒlitʃaːr
alkoholni	ǎlkoxolniː
alkoholno	ǎlkoxolnoː
almaatski	almaâtskiː
almanah	almǎnax
alofon	âlofoːn
alomorf	âlomorf
alotrop	alǒtrop
alpe	âːlpe
alpinist	alpǐnist
alpinski	ǎlpiːnskiː
alpski	âːlpskiː
alteracija	alterǎːtsija
alternacija	alternǎːtsija
alternativac	alternatǐːʋats
alternativan	âlternatiːʋan
altimetar	ǎltimetar
altruistički	altruǐstitʃki
altruistički	altruǐstitʃkiː
altruizam	altruǐzam
aludirati	aludǐːrati
aluminij	alǔmiːnij
aluvijalan	âluʋijaːlan
aluzija	ǎluːzija
alveola	alʋeǒːla
alveolar	alʋeǒlaːr
alveolaran	âlʋeolaːran
alzaški	ǎlzaʃki
alzaški	ǎlzaʃkiː
alžir	ǎlʒiːr
alžirac	alʒǐːrats
alžirka	ǎlʒiːrka
alžirski	ǎlʒiːrskiː
ama	âma
amajlija	amǎjlija
amalgam	amǎlgaːm
aman	ǎmaːn
amandman	amǎndmaːn
amater	amǎteːr
amaterizam	amaterǐzam
amaterski	amǎteːrski
amaterski	amǎteːrskiː
amaterstvo	amatěːrstʋo
amazonski	amǎzoːnski
amazonski	amǎzoːnskiː
ambalaža	ambalǎːʒa
ambasada	ambasǎːda
ambasador	ambǎsaːdor
ambasadorski	ambǎsaːdorski
ambasadorski	ambǎsaːdorskiː
ambiciozan	âmbitsioːzan
ambiciozno	âmbitsioːzno
ambigvitet	ambigʋǐteːt
ambigvitetan	âmbigʋiteːtan
ambijent	ambǐjent
ambijentalan	âmbijentaːlan
ambis	ǎmbis
ambivalencija	ambiʋalěntsija
ambivalentan	ambiʋǎlentan
ambivalentnost	ambiʋǎlentnoːst
ambrela	ambrěːla
ambrozija	ǎmbroːzija
ambulantni	ambǔlantniː
ambulantski	ambǔlantskiː
ameba	aměːba
