অঁকোল	ɔkol
অঁকোল	ɔ̃kol
অংশ	ɔŋʃoˑ
অংশক	ɔŋʃɔk
অংশমান	ɔŋʃɔman
অংশল	ɔŋʃɔl
অংশাবতার	ɔŋʃabot̪aɹ
অংশাবতার	ɔŋʃabot̪aɾ
অংশু	ɔŋʃuˑ
অংশুল	ɔŋʃul
অংশুশিরা	ɔŋʃuʃiɹaˑ
অংশুশিরা	ɔŋʃuʃiɾaˑ
অংহ	ɔŋɦoˑ
অই	oi̯
অইলদা	ɔild̪a
অইলদা	ɔild̪æ
অওসৎ	ɔo̯sɔt̪
অওসৎ	ɔo̯ʃɔt̪
অকথা	ɔkɔt̪ʰaˑ
অকপটচিত্তে	ɔkɔpɔtːɕit̪ːeˑ
অকপটচিত্তে	ɔkɔpɔʈtʃit̪ːeˑ
অকমনীয়	ɔkɔmoni̯oˑ
অকম্পিত	ɔkɔmpit̪oˑ
অকরণ	ɔkɹon
অকরণ	ɔkɾon
অকর্তা	ɔkɔɹt̪aˑ
অকর্তা	ɔkɔɾt̪aˑ
অকর্মা	ɔkɔɹmaˑ
অকর্মা	ɔkɔɾmaˑ
অকর্ষিত	ɔkɔɹʃit̪oˑ
অকর্ষিত	ɔkɔɾʃit̪oˑ
অকল	ɔkɔl
অকলঙ্ক	ɔkɔloŋkoˑ
অকলঙ্কিত	ɔkɔloŋkit̪oˑ
অকলঙ্কী	ɔkɔloŋkiˑ
অকলমন্দ	ɔkolmɔnd̪
অকলমন্দ	ɔkolmɔnd̪oˑ
অকল্ক	ɔkɔlkɔˑ
অকল্কা	ɔkɔlkaˑ
অকল্পনা	ɔkɔlpɔnaˑ
অকল্যাণ	ɔkɔllan
অকল্যাণকারিণী	ɔkɔlːankaɹiniˑ
অকল্যাণকারিণী	ɔkɔlːankaɾiniˑ
অকস্মাৎ	ɔkɔʃːat̪
অকস্মাৎ	ɔkɔʃːãt̪
অকাজ	ɔkadʑ
অকাজ	ɔkadʒ
অকাট	ɔkat
অকাট	ɔkaʈ
অকাট্য	ɔkatːoˑ
অকাট্য	ɔkaʈːoˑ
অকাঠা	ɔkatʰaˑ
অকাঠা	ɔkaʈʰaˑ
অকাণ্ড	ɔkandɔˑ
অকাণ্ড	ɔkanɖɔˑ
অকাণ্ডে	ɔkandeˑ
অকাণ্ডে	ɔkaɳɖeˑ
অকাতর	ɔkat̪ɔɹ
অকাতর	ɔkat̪ɔɾ
অকাতরে	ɔkat̪ɔɹeˑ
অকাতরে	ɔkat̪ɔɾeˑ
অকাম	ɔkam
অকাম্য	ɔkamːoˑ
অকারণ	ɔkaɹon
অকারণ	ɔkaɾon
অকারণে	ɔkaɹɔneˑ
অকারণে	ɔkaɾɔneˑ
অকারত	ɔkaɹɔt̪
অকারত	ɔkaɾɔt̪
অকারাদি	ɔkaɹad̪iˑ
অকারাদি	ɔkaɾad̪iˑ
অকারান্ত	ɔkaɹant̪oˑ
অকারান্ত	ɔkaɾant̪oˑ
অকার্য	ɔkaɹdʑoˑ
অকার্য	ɔkaɾdʒoˑ
অকাল	ɔkal
অকালপক্বতা	ɔkalpɔkːɔt̪aˑ
অকালবৃদ্ধ	ɔkalbɹid̪d̪ʱɔˑ
অকালবৃদ্ধ	ɔkalbɾid̪d̪ʱɔˑ
অকালবোধন	ɔkalbod̪ʱɔn
অকালমৃত্যু	ɔkalmɹit̪ːuˑ
অকালমৃত্যু	ɔkalmɾit̪ːuˑ
অকালসন্ধ্যা	ɔkalɔʃɔnd̪ʱaˑ
অকালে	ɔkaleˑ
অকিঞ্চনতা	ɔkintɕɔnot̪aˑ
অকিঞ্চনতা	ɔkintʃɔnot̪aˑ
অকিঞ্চনত্ব	ɔkintɕɔnot̪ːoˑ
অকিঞ্চনত্ব	ɔkintʃɔnot̪ːoˑ
অকিঞ্চিৎ	ɔkintɕit̪
অকিঞ্চিৎ	ɔkintʃit̪
অকিঞ্চিৎকরতা	ɔkintɕit̪kɔɹot̪aˑ
অকিঞ্চিৎকরতা	ɔkintʃit̪kɔɾot̪aˑ
অকীর্তিকর	ɔkiɹt̪ikɔɹ
অকীর্তিকর	ɔkiɾt̪ikɔɾ
অকুটিলতা	ɔkutilɔt̪aˑ
অকুটিলতা	ɔkuʈilɔt̪aˑ
অকুণ্ঠিতচিত্ত	ɔkuntʰit̪ɔtɕit̪ːoˑ
অকুণ্ঠিতচিত্ত	ɔkuɳʈʰit̪ɔtʃit̪ːoˑ
অকুণ্ঠিতচিত্তে	ɔkuntʰit̪ɔtɕit̪ːeˑ
অকুণ্ঠিতচিত্তে	ɔkuɳʈʰit̪ɔtʃit̪ːeˑ
অকৃতকার্যতা	ɔkŕt̪ɔkaɹdʑɔt̪aˑ
অকৃতকার্যতা	ɔkŕt̪ɔkaɾdʒɔt̪aˑ
অকেশ	ɔkeʃ
অকোবিদ	ɔkobid̪
অকৌশল	ɔkou̯ʃɔl
অক্কা	ɔkːaˑ
অক্টোপাস	ɔktopaʃ
অক্টোপাস	ɔkʈopaʃ
অক্টোবর	ɔktobɔɹ
অক্টোবর	ɔkʈobɔɾ
অক্ত	ɔkt̪oˑ
অক্রিয়কর্মা	ɔkɹi̯ɔkɔɹmaˑ
অক্রিয়কর্মা	ɔkɾi̯ɔkɔɾmaˑ
অক্ষ	okkʰo
অক্ষবৃত্ত	ɔkʰːɔbɹit̪ːoˑ
অক্ষবৃত্ত	ɔkʰːɔbɾit̪ːoˑ
অক্ষয়	ɔkʰːɔe̯
অক্ষয়কীর্তি	ɔkʰːɔe̯kiɹt̪iˑ
অক্ষয়কীর্তি	ɔkʰːɔe̯kiɾt̪iˑ
অক্ষরডম্বর	ɔkʰːɔɹodɔmbɔɹ
অক্ষরডম্বর	ɔkʰːɔɾoɖɔmbɔɾ
অক্ষরবৃত্ত	ɔkkʰɔɹbɹit̪t̪oˑ
অক্ষরবৃত্ত	ɔkkʰɔɾbɾit̪t̪oˑ
অক্ষরমালা	ɔkʰːɔɹmalaˑ
অক্ষরমালা	ɔkʰːɔɾmalaˑ
অক্ষরেখা	ɔkʰːɔɹekʰaˑ
অক্ষরেখা	ɔkʰːɔɾekʰaˑ
অক্ষশক্তি	ɔkʰːɔʃɔkt̪iˑ
অক্ষি	okʰːiˑ
অক্ষি	ɔkʰːiˑ
অক্ষিলোম	ɔkʰːilom
অক্ষিশালাক্য	ɔkʰːiʃalakːoˑ
অক্ষীয়	ɔkʰːi̯oˑ
অখিলেশ	ɔkʰileʃ
অগস্ট	ɔgɔst
অগস্ট	ɔgɔstoˑ
অগস্ট	ɔgɔsʈ
অগস্ট	ɔgɔsʈoˑ
অগস্ট	ɔgɔʂʈ
অগস্ট	ɔgɔʂʈoˑ
অগাষ্ট	ɔgast
অগাষ্ট	ɔgasʈ
অগাষ্ট	ɔgaʂʈ
অগ্নি	ogniˑ
অগ্নিকুণ্ড	ɔgnikundoˑ
অগ্নিকুণ্ড	ɔgnikuɳɖoˑ
অগ্নিদাহ্য	ɔgnid̪adʑʱːoˑ
অগ্নিদাহ্য	ɔgnid̪adʒʱːoˑ
অগ্নিমূল্য	ɔgnimullɔˑ
অগ্রজিহ্বা	ɔgɹɔdʑiu̯bʱaˑ
অগ্রজিহ্বা	ɔgɹɔdʑiu̯vaˑ
অগ্রজিহ্বা	ɔgɾɔdʒiu̯bʱaˑ
অগ্রজিহ্বা	ɔgɾɔdʒiu̯vaˑ
অগ্রসূচনা	ɔggɹɔʃutɕɔnaˑ
অগ্রসূচনা	ɔggɾɔʃutʃɔnaˑ
অগ্রহায়ণ	ɔɹgoɦae̯ɔn
অগ্রহায়ণ	ɔɾgoɦae̯ɔn
অঘ	ɔg
অঙ্গন	ɔŋgon
অঙ্গার	ɔŋgaɹ
অঙ্গার	ɔŋgaɾ
অঙ্গুষ্ঠ	ɔŋgustʰoˑ
অঙ্গুষ্ঠ	ɔŋguʂʈʰoˑ
অঙ্গুষ্ঠ	ɔŋguʃtʰoˑ
অচেনা	ɔtɕenaˑ
অচেনা	ɔtʃenaˑ
অজগর	ɔdʑogɔɹ
অজগর	ɔdʒogɔɾ
অঞ্চল	ɔntɕɔl
অঞ্চল	ɔntʃɔl
অঞ্জলি	ɔndʑoliˑ
অঞ্জলি	ɔndʒoliˑ
অড়হর	ɔɹɔɦoɹ
অড়হর	ɔɹɔɦɔɹ
অড়হর	ɔɽoɾ
অড়হর	ɔɽɔɾ
অড়হর	ɔɽʱoɾ
অড়হর	ɔɽʱɔɾ
অড়হর	ɔɾɦoɾ
অড়হর	ɔɾɦɔɾ
অণ্ড	ɔndoˑ
অণ্ড	ɔɳɖoˑ
অণ্ডজ	ɔndɔdʑ
অণ্ডজ	ɔɳɖɔdʒ
অতিথি	ot̪it̪ʰiˑ
অত্যাচার	ot̪ːatɕaɹ
অত্যাচার	ot̪ːatʃaɾ
অথবা	ɔt̪ʰobaˑ
অদৃশ্য	ɔd̪ːɹiʃːoˑ
অদৃশ্য	ɔd̪ːɾiʃːoˑ
অধর্ম	ɔd̪ʱɔɹmɔˑ
অধর্ম	ɔd̪ʱɔɾmɔˑ
অধৈর্য	ɔdʱoi̯dʒːo
অধৈর্য	ɔdʱoi̯rdʒːo
অনন্যা	ɔnonːaˑ
অনার্য	ɔnaɹdʑoˑ
অনার্য	ɔnaɾdʒoˑ
অনুনাসিক	onunaʃik
অনুবাদ	onubad̪
অনুবাদক	onubad̪ɔk
অনুমতি	onumot̪iˑ
অনুরাগ	onuɹag
অনুরাগ	onuɾag
অনুরোধে	onuɹod̪ʱeˑ
অনুরোধে	onuɾod̪ʱeˑ
অনুষ্ঠান	onustʰan
অনুষ্ঠান	onuʂʈʰan
অনুষ্ঠান	onuʃtʰan
অনুস্বর	onuʃːɔɹ
অনুস্বর	onuʃːɔɾ
অনুস্বার	onuʃːaɹ
অনুস্বার	onuʃːaɾ
অনেক	ɔnek
অন্টারিও	ɔntaɹi̯oˑ
অন্টারিও	ɔɳʈaɾi̯oˑ
অন্তর	ɔnt̪ɔɹ
অন্তর	ɔnt̪ɔɾ
অন্ধকার	ɔnd̪ʱokaɹ
অন্ধকার	ɔnd̪ʱokaɾ
অন্ধপ্রায়	ɔnd̪ʱɔpɹae̯
অন্ধপ্রায়	ɔnd̪ʱɔpɾae̯
অন্ধ্র	ɔnd̪ʱɹɔˑ
অন্ধ্র	ɔnd̪ʱɾɔˑ
অন্ধ্রপ্রদেশ	ɔnd̪ʱɹɔpɹod̪eʃ
অন্ধ্রপ্রদেশ	ɔnd̪ʱɾɔpɾod̪eʃ
অন্ন	ɔnːoˑ
অন্বেষণ	ɔnːeʃɔn
অন্য	onːoˑ
অন্যতম	onːot̪ɔmoˑ
অপরাধ	ɔpoɹad̪
অপরাধ	ɔpoɾad̪
অপারেশন	ɔpaɹeʃon
অপারেশন	ɔpaɾeʃon
অপিনিহিতি	ɔpiniɦit̪iˑ
অপেক্ষা	ɔpekːʰaˑ
অপেক্ষাকৃত	ɔpekːʰakɾit̪ɔ̝ˑ
অপ্সরা	ɔpʃɔɹaˑ
অপ্সরা	ɔpʃɔɾaˑ
অফিস	ɔfis
অফিস	ɔfiʃ
অবগুন্ঠন	ɔboguntʰon
অবগুন্ঠন	ɔboguɳʈʰon
অবতার	ɔbot̪aɹ
অবতার	ɔbot̪aɾ
অবশ্য	ɔboʃːoˑ
অবাক	ɔbäk
অবাক	ɔbäːk
অভিধান	obid̪ʱan
অভিধান	obʱid̪ʱan
অভিধান	ovid̪ʱan
অভিনেতা	ɔbʱinet̪aˑ
অভিনেতা	ɔvinet̪aˑ
অভিনেত্রী	ɔbʱinet̪ːɹiˑ
অভিনেত্রী	ɔbʱinet̪ːɾiˑ
অভিনেত্রী	ɔvinet̪ːɹiˑ
অভিনেত্রী	ɔvinet̪ːɾiˑ
অভিমন্যু	ɔbʱimɔnːuˑ
অভিমন্যু	ɔvimɔnːuˑ
অভিযোগ	obʱidʑog
অভিযোগ	obʱidʒog
অভিযোগ	ovidʑog
অভিযোগ	ovidʒog
অভিশ্রুতি	ɔbʱisɹut̪iˑ
অভিশ্রুতি	ɔbʱisɾut̪iˑ
অভিশ্রুতি	ɔvisɹut̪iˑ
অভিশ্রুতি	ɔvisɾut̪iˑ
অভিস্রবণ	ɔbʱisɹɔbon
অভিস্রবণ	ɔbʱisɾɔbon
অভিস্রবণ	ɔvisɹɔbon
অভিস্রবণ	ɔvisɾɔbon
অভীষ্ট	ɔbʱiʂʈoˑ
অভীষ্ট	ɔbʱiʃtoˑ
অভীষ্ট	ɔvistoˑ
অভীষ্ট	ɔviʂʈoˑ
অভ্র	ɔbʱɹoˑ
অভ্র	ɔbʱɾoˑ
অভ্র	ɔvɹoˑ
অভ্র	ɔvɾoˑ
অমন	ɔmon
অমিতাভ	ɔmit̪ab
অমিতাভ	ɔmit̪av
অয়স্কান্ত	ɔe̯oskant̪oˑ
অরণ্য	ɔɹonːoˑ
অরণ্য	ɔɾonːoˑ
অরিজিনাল	ɔɹidʑinal
অরিজিনাল	ɔɾidʒinal
অরিত্র	oɹit̪ːɹoˑ
অরিত্র	oɾit̪ːɾoˑ
অরুণ	oɾun
অর্ণব	ɔɹnob
অর্ণব	ɔɾnob
অর্থ	ɔɹt̪ʰoˑ
অর্থ	ɔɾt̪ʰoˑ
অর্থাৎ	ɔɹt̪ʰat̪
অর্থাৎ	ɔɾt̪ʰat̪
অর্ধমৃত	ɔɹd̪ʱomɹit̪oˑ
অর্ধমৃত	ɔɾd̪ʱomɾit̪oˑ
অর্পিতা	ɔɹpit̪aˑ
অর্পিতা	ɔɾpit̪aˑ
অলস	ɔloʃ
অলাত	ɔlat̪
অলৌকিক	ɔlou̯kik
অশিক্ষিত	ɔʃikʰːit̪oˑ
অশ্বগন্ধা	ɔʃːɔgɔnd̪ʱaˑ
অশ্বেত	ɔʃːet̪
অষ্টাশি	ɔstaʃiˑ
অষ্টাশি	ɔʂʈaʃiˑ
অষ্টাশি	ɔʃtaʃiˑ
অসভ্য	ɔʃobʱːoˑ
অসভ্য	ɔʃovːoˑ
অসমীয়া	ɔʃomi̯aˑ
অসি	ɔʃiˑ
অসীমা	ɔʃimaˑ
অসুখ	ɔʃuːk
অসুখ	ɔʃuːkʰ
অসুস্থ	ɔʃust̪ʰoˑ
অস্ট্রিয়া	ɔstːɹi̯aˑ
অস্ট্রিয়া	ɔsʈːɾi̯aˑ
অস্ট্রিয়া	ɔʂʈːɾi̯aˑ
অস্ট্রেলিয়া	ɔstːɹeli̯aˑ
অস্ট্রেলিয়া	ɔsʈːɾeli̯aˑ
অস্ট্রেলিয়া	ɔʂʈːɾeli̯aˑ
অস্ত্র	ɔst̪ːɹoˑ
অস্ত্র	ɔst̪ːɾoˑ
অস্ত্রচিকিৎসা	ɔst̪ːɹotɕikit̪ʃaˑ
অস্ত্রচিকিৎসা	ɔst̪ːɾotʃikit̪ʃaˑ
অস্ত্রোপচার	ɔst̪ːɹopotɕaɹ
অস্ত্রোপচার	ɔst̪ːɾopotʃaɾ
অস্থি	ost̪ʰi
অস্থির	ɔst̪ʰiɹ
অস্থির	ɔst̪ʰiɾ
অস্পৃশ্যতা	ɔʃpɹiʃːɔt̪aˑ
অস্পৃশ্যতা	ɔʃpɾiʃːɔt̪aˑ
অহংকার	ɔɦoŋkaɹ
অহংকার	ɔɦoŋkaɾ
অহরহ	ɔɦoɹɔɦoˑ
অহরহ	ɔɦoɾɔɦoˑ
অহর্নিশি	ɔɦoɹniʃiˑ
অহর্নিশি	ɔɦoɾniʃiˑ
অ্যাদ্দিন	æd̪ːin
অ্যাদ্দিন	ɛd̪ːin
অ্যানথ্রাক্স	ænt̪ʰɹaks
অ্যানথ্রাক্স	ænt̪ʰɾaks
অ্যানিমে	ænimeˑ
অ্যানিমে	ɛnimeˑ
অ্যানিমেশন	ænimeʃɔn
অ্যানিমেশন	ɛnimeʃɔn
অ্যান্টার্কটিকা	æɳʈaɾkʈikaˑ
অ্যান্টার্কটিকা	ɛntaɹktikaˑ
অ্যাপোলো	æpoloˑ
অ্যাপোলো	ɛpoloˑ
অ্যালগরিদম	ælgoɾid̪m
অ্যালগরিদম	ælgoɾid̪om
অ্যালগরিদম	ɛlgoɹid̪m
অ্যালগরিদম	ɛlgoɹid̪om
অ্যালবার্টা	ælbaɹtaˑ
অ্যালবার্টা	ælbaɾʈaˑ
আঁকড়া	akɹaˑ
আঁকড়া	ãkɽaˑ
আঁকড়া	ãkɾaˑ
আঁকা	akaˑ
আঁকা	ãkaˑ
আঁকাবাঁকা	akabakaˑ
আঁকাবাঁকা	ãkabãkaˑ
আঁখি	akʰiˑ
আঁখি	ãkʰiˑ
আঁচল	atɕol
আঁচল	atʃol
আঁচল	ãtʃol
আঁটা	ãʈ̟a
আঁতাত	at̪at̪
আঁতাত	ãt̪at̪
আঁতেল	at̪el
আঁতেল	ãt̪el
আঁধার	ad̪ʱaɹ
আঁধার	ãd̪ʱaɾ
আংটি	aŋʈi
আংশিক	aŋʃik
আইচ	ai̯tɕ
আইচ	ai̯tʃ
আইচ্ছা	aitɕtɕá
আইজ্ঞা	ai̯gːaˑ
আইজ্যা	aidʒdʒa
আইজ্যা	aidʒdʒæ
আইন	ai̯n
আইয়ুব	ai̯u̯b
আইসক্রিম	ai̯skɹim
আইসক্রিম	ai̯skɾim
আইসল্যান্ড	ai̯slænd
আইসল্যান্ড	ai̯slæɳɖ
আউলিয়া	au̯li̯aˑ
আওতা	ao̯t̪aˑ
আওয়াজ	aʊ̯adʒ
আওরঙ্গজেব	ao̯ɹɔŋgdʑeb
আওরঙ্গজেব	ao̯ɹɔŋgzeb
আওরঙ্গজেব	ao̯ɾɔŋgdʒeb
আওরঙ্গজেব	ao̯ɾɔŋgzeb
আকবর	akbɔɹ
আকবর	akbɔɾ
আকসার	aksaɹ
আকসার	aksaɾ
আকাদেমি	akad̪emiˑ
আক্রান্ত	akɹant̪oˑ
আক্রান্ত	akɾant̪oˑ
আখ	ax
আখ	aːk
আখতার	akt̪aɹ
আখতার	akt̪aɾ
আখতার	axt̪aɹ
আখতার	axt̪aɾ
আখবার	akʰbaɹ
আখবার	akʰbaɾ
আখের	akʰeɹ
আখের	akʰeɾ
আখেরাত	akʰeɹat̪
আখেরাত	akʰeɾat̪
আগন	agon
আগস্ট	agost
আগস্ট	agosʈ
আগস্ট	agoʂʈ
আগা	agaˑ
আগাজ	agadʑ
আগাজ	agadʒ
আগাজ	agaz
আগানো	aganoˑ
আগুন	agun
আগ্নেয়গিরি	agnee̯giɹiˑ
আগ্নেয়গিরি	agnee̯giɾiˑ
আঘণ	agʱon
আঙিনা	aŋinaˑ
আঙুর	aŋuɹ
আঙুর	aŋuɾ
আঙুল	aŋul
আঙ্গুল	aŋgul
আচার	atɕaɹ
আচার	atʃaɾ
আছে	aseˑ
আছে	asɛˑ
আছে	atɕʰeˑ
আছে	atʃʰeˑ
আজব	adʑob
আজব	adʒob
আজম	adʑom
আজম	adʒom
আজম	azom
আজমায়েশ	adʑmae̯ʃ
আজমায়েশ	adʒmae̯ʃ
আজমায়েশ	azmae̯ʃ
আজাইড়া	adʑae̯ɾaˑ
আজাইড়া	adʑai̯ɾaˑ
