a	a
ba	ba
ba'a	ˈbaha
ba'e	ˈbahe
ba'i	ˈbahi
ba'o	ˈbaho
ba'u	ˈbahu
bab	bab
bac	baʃ
bad	bad
baf	baf
bag	bag
bai	bai
baj	baʒ
bak	bak
bal	bal
bam	bam
ban	ban
bap	bap
bar	bar
bas	bas
bat	bat
bau	bau
bav	bav
baz	baz
be	bɛ
be'a	ˈbɛha
be'e	ˈbɛhe
be'i	ˈbɛhi
be'o	ˈbɛho
be'u	ˈbɛhu
beb	bɛb
bec	bɛʃ
bed	bɛd
bef	bɛf
beg	bɛg
bei	bɛi
bej	bɛʒ
bek	bɛk
bel	bɛl
bem	bɛm
ben	bɛn
bep	bɛp
ber	bɛr
bes	bɛs
bet	bɛt
bev	bɛv
bez	bɛz
bi	bi
bi'a	ˈbiha
bi'e	ˈbihe
bi'i	ˈbihi
bi'o	ˈbiho
bi'u	ˈbihu
bib	bib
bic	biʃ
bid	bid
bif	bif
big	big
bij	biʒ
bik	bik
bil	bil
bim	bim
bin	bin
bip	bip
bir	bir
bis	bis
bit	bit
biv	biv
biz	biz
bo	bo
bo'a	ˈboha
bo'e	ˈbohe
bo'i	ˈbohi
bo'o	ˈboho
bo'u	ˈbohu
bob	bob
boc	boʃ
bod	bod
bof	bof
bog	bog
boi	boi
boj	boʒ
bok	bok
bol	bol
bom	bom
bon	bon
bop	bop
bor	bor
bos	bos
bot	bot
bov	bov
boz	boz
bu	bu
bu'a	ˈbuha
bu'e	ˈbuhe
bu'i	ˈbuhi
bu'o	ˈbuho
bu'u	ˈbuhu
bub	bub
buc	buʃ
bud	bud
buf	buf
bug	bug
buj	buʒ
buk	buk
bul	bul
bum	bum
bun	bun
bup	bup
bur	bur
bus	bus
but	but
buv	buv
buz	buz
ca	ʃa
ca'a	ˈʃaha
ca'e	ˈʃahe
ca'i	ˈʃahi
ca'o	ˈʃaho
ca'u	ˈʃahu
cab	ʃab
cac	ʃaʃ
cad	ʃad
caf	ʃaf
