a	a˧˧
á	a˨˦
à	a˧˨
ả	a˧˩˨
ạ	a˨ˀ˩ʔ
ác	ak˦˥
ắc	ăk˦˥
ặc	ăk˨ˀ˩
ác-bít	ak˦˥-bit˦˥
ắc-coóc	ăk˦˥-kɔkp˦˥
ách	ɛk˦˥
ạch	ɛk˨ˀ˩
ác-ten	ak˦˥-tɛn˧˧
a-di-đà	a˧˧-zi˧˧-da˧˨
â	ɤ̆˧˧
ai	aj˧˧
ái	aj˨˦
ải	aj˧˩˨
a-lê	a˧˧-le˧˧
am	am˧˧
ám	am˨˦
ăm	ăm˧˧
ảm	am˧˩˨
ẵm	ăm˧ˀ˥
âm	ɤ̆m˧˧
ấm	ɤ̆m˨˦
ấm	ɤ̆m˨˦
ầm	ɤ̆m˧˨
ẩm	ɤ̆m˧˩˨
ẫm	ɤ̆m˧ˀ˥
ậm	ɤ̆m˨ˀ˩ʔ
a-mi-nô	a˧˧-mi˧˧-no˧˧
am-pe	am˧˧-pɛ˧˧
an	an˧˧
án	an˨˦
ăn	ăn˧˧
ăn	ăn˧˧
ăn;	ăn˧˧
ân	ɤ̆n˧˧
ấn	ɤ̆n˨˦
ẩn	ɤ̆n˧˩˨
ang	aŋ˧˧
áng	aŋ˨˦
ăng	ăŋ˧˧
ắng	ăŋ˨˦
ằng	ăŋ˧˨
ẳng	ăŋ˧˩˨
(anh)	ɛŋ˧˧
anh	ɛŋ˧˧
anh	ɛŋ˧˧
ánh	ɛŋ˨˦
ành	ɛŋ˧˨
ảnh	ɛŋ˧˩˨
ao	aw˧˧
ao	aw˧˧
áo	aw˨˦
Áo	aw˨˦
áo	aw˨˦
áo	aw˨˦
ào	aw˧˨
ảo	aw˧˩˨
ạo	aw˨ˀ˩ʔ
áp	ap˦˥
ấp	ɤ̆p˦˥
ập	ɤ̆p˨ˀ˩
a-rập	a˧˧-zɤ̆p˨ˀ˩
át	at˦˥
ắt	ăt˦˥
ất	ɤ̆t˦˥
au	ăw˧˧
âu	ɤ̆w˧˧
Âu	ɤ̆w˧˧
âu	ɤ̆w˧˧
Âu	ɤ̆w˧˧
âu	ɤ̆w˧˧
Âu	ɤ̆w˧˧
âu	ɤ̆w˧˧
ấu	ɤ̆w˨˦
ầu	ɤ̆w˧˨
ẩu	ɤ̆w˧˩˨
a-xê-ti-len	a˧˧-se˧˧-ti˧˧-lɛn˧˧
a-xít	a˧˧-sit˦˥
ay	ăj˧˧
áy	ăj˨˦
ấy	ɤ̆j˨˦
ba	ba˧˧
ba	ba˧˧
bá	ba˨˦
bà	ba˧˨
bả	ba˧˩˨
bã	ba˧ˀ˥
bạ	ba˨ˀ˩ʔ
bác	bak˦˥
bác	bak˦˥
bắc	băk˦˥
bạc	bak˨ˀ˩
bặc	băk˨ˀ˩
bấc	bɤ̆k˦˥
bậc	bɤ̆k˨ˀ˩
bách	bɛk˦˥
bạch	bɛk˨ˀ˩
bai	baj˧˧
bái	baj˨˦
bài	baj˧˨
bài	baj˧˨
bải	baj˧˩˨
bãi	baj˧ˀ˥
bại	baj˨ˀ˩ʔ
bam	bam˧˧
bám	bam˨˦
bàm	bam˧˨
băm	băm˧˧
bặm	băm˨ˀ˩ʔ
bấm	bɤ̆m˨˦
bầm	bɤ̆m˧˨
bẩm	bɤ̆m˧˩˨
bẫm	bɤ̆m˧ˀ˥
bậm	bɤ̆m˨ˀ˩ʔ
ban	ban˧˧
bán	ban˨˦
bán	ban˨˦
bàn	ban˧˨
băn	băn˧˧
bắn	băn˨˦
bằn	băn˧˨
bẳn	băn˧˩˨
bản	ban˧˩˨
bạn	ban˨ˀ˩ʔ
bạn	ban˨ˀ˩ʔ
bân	bɤ̆n˧˧
bấn	bɤ̆n˨˦
bần	bɤ̆n˧˨
bẩn	bɤ̆n˧˩˨
bận	bɤ̆n˨ˀ˩ʔ
bang	baŋ˧˧
báng	baŋ˨˦
bàng	baŋ˧˨
băng	băŋ˧˧
bắng	băŋ˨˦
bằng	băŋ˧˨
bảng	baŋ˧˩˨
bẵng	băŋ˧ˀ˥
bạng	baŋ˨ˀ˩ʔ
bặng	băŋ˨ˀ˩ʔ
bâng	bɤ̆ŋ˧˧
bầng	bɤ̆ŋ˧˨
băng-giô	băŋ˧˧-zo˧˧
bánh	bɛŋ˨˦
bành	bɛŋ˧˨
bành	bɛŋ˧˨
bảnh	bɛŋ˧˩˨
bạnh	bɛŋ˨ˀ˩ʔ
bao	baw˧˧
báo	baw˨˦
bào	baw˧˨
bảo	baw˧˩˨
bão	baw˧ˀ˥
bạo	baw˨ˀ˩ʔ
bắp	băp˦˥
bấp	bɤ̆p˦˥
bập	bɤ̆p˨ˀ˩
bát	bat˦˥
bát	bat˦˥
bắt	băt˦˥
bạt	bat˨ˀ˩
bặt	băt˨ˀ˩
bất	bɤ̆t˦˥
bật	bɤ̆t˨ˀ˩
ba-trui	ba˧˧-cuj˧˧
bát-tràng	bat˦˥-caŋ˧˨
báu	băw˨˦
bàu	băw˧˨
bảu	băw˧˩˨
bạu	băw˨ˀ˩ʔ
bâu	bɤ̆w˧˧
bấu	bɤ̆w˨˦
bầu	bɤ̆w˧˨
bậu	bɤ̆w˨ˀ˩ʔ
ba-xí	ba˧˧-si˨˦
bay	băj˧˧
bày	băj˧˨
bảy	băj˧˩˨
bảy	băj˧˩˨
bây	bɤ̆j˧˧
bấy	bɤ̆j˨˦
bầy	bɤ̆j˧˨
bẩy	bɤ̆j˧˩˨
bẫy	bɤ̆j˧ˀ˥
bậy	bɤ̆j˨ˀ˩ʔ
bê	be˧˧
bế	be˨˦
bề	be˧˨
bể	be˧˩˨
bệ	be˨ˀ˩ʔ
be	bɛ˧˧
be	bɛ˧˧
bé	bɛ˨˦
bè	bɛ˧˨
bẻ	bɛ˧˩˨
bẽ	bɛ˧ˀ˥
bẹ	bɛ˨ˀ˩ʔ
béc	bɛk˦˥
bệch	bek˨ˀ˩
bem	bɛm˧˧
bèm	bɛm˧˨
bẻm	bɛm˧˩˨
bên	ben˧˧
bến	ben˨˦
bền	ben˧˨
bện	ben˨ˀ˩ʔ
bén	bɛn˨˦
bèn	bɛn˧˨
bẽn	bɛn˧ˀ˥
beng	bɛŋ˧˧
bênh	beŋ˧˧
bềnh	beŋ˧˨
bệnh	beŋ˨ˀ˩ʔ
beo	beo˧˧
béo	beo˨˦
bèo	beo˧˨
bèo	beo˧˨
bẻo	beo˧˩˨
bếp	bep˦˥
bép	bɛp˦˥
bẹp	bɛp˨ˀ˩
bết	bet˦˥
bệt	bet˨ˀ˩
bét	bɛt˦˥
bẹt	bɛt˨ˀ˩
bê-tông	be˧˧-toŋm˧˧
bêu	bɛu˧˧
bều	bɛu˧˨
bệu	bɛu˨ˀ˩ʔ
bia	biə˧˧
bìa	biə˧˨
bịa	biə˨ˀ˩ʔ
bi	bi˧˧
bí	bi˨˦
bì	bi˧˨
bỉ	bi˧˩˨
bĩ	bi˧ˀ˥
bị	bi˨ˀ˩ʔ
bích	bik˦˥
bích-câu	bik˦˥-kɤ̆w˧˧
biếc	biək˦˥
biếm	biəm˨˦
biên	biən˧˧
biến	biən˨˦
biền	biən˧˨
biển	biən˧˩˨
biển	biən˧˩˨
biện	biən˨ˀ˩ʔ
biêng	biəŋ˧˧
biếng	biəŋ˨˦
biết	biət˦˥
biết	biət˦˥
biệt	biət˨ˀ˩
biếu	biəw˨˦
biểu	biəw˧˩˨
bìm	bim˧˨
bỉm	bim˧˩˨
bin	bin˧˧
bín	bin˨˦
bịn	bin˨ˀ˩ʔ
binh	biŋ˧˧
bính	biŋ˨˦
bình	biŋ˧˨
bỉnh	biŋ˧˩˨
bĩnh	biŋ˧ˀ˥
bíp	bip˦˥
bịp	bip˨ˀ˩
bít	bit˦˥
bịt	bit˨ˀ˩
bịt;	bit˨ˀ˩
bíu	biw˨˦
bìu	biw˧˨
bĩu	biw˧ˀ˥
bơ	bɤ˧˧
bớ	bɤ˨˦
bờ	bɤ˧˨
bờ	bɤ˧˨
bở	bɤ˧˩˨
bở	bɤ˧˩˨
bỡ	bɤ˧ˀ˥
bợ	bɤ˨ˀ˩ʔ
bô	bo˧˧
bố	bo˨˦
bồ	bo˧˨
bổ	bo˧˩˨
bỗ	bo˧ˀ˥
bộ	bo˨ˀ˩ʔ
bo	bɔ˧˧
bo	bɔ˧˧
bó	bɔ˨˦
(bò)	bɔ˧˨
bò	bɔ˧˨
bò;	bɔ˧˨
bỏ	bɔ˧˩˨
bõ	bɔ˧ˀ˥
bọ	bɔ˨ˀ˩ʔ
bốc	bokp˦˥
bộc	bokp˨ˀ˩
bóc	bɔkp˦˥
bọc	bɔkp˨ˀ˩
bơi	bɤj˧˧
bới	bɤj˨˦
bời	bɤj˧˨
bởi	bɤj˧˩˨
bôi	boj˧˧
bối	boj˨˦
bồi	boj˧˨
bổi	boj˧˩˨
bội	boj˨ˀ˩ʔ
bói	bɔj˨˦
bói	bɔj˨˦
bòi	bɔj˧˨
bơm	bɤm˧˧
bờm	bɤm˧˨
bợm	bɤm˨ˀ˩ʔ
bôm	bom˧˧
bồm	bom˧˨
bom	bɔm˧˧
bòm	bɔm˧˨
bỏm	bɔm˧˩˨
bơn	bɤn˧˧
bờn	bɤn˧˨
bỡn	bɤn˧ˀ˥
