ក	kɑː
កក	kɑːʔ
កករ	kɑkɑː
កកាយ	kɑkaːj
កកិត	kɑkət
កកិល	kɑkəl
កកូរ	kɑkou
កកេរ	kɑkeː
កកេះ	kɑkeh
កក់	kɑʔ
កក្កដា	kaʔkəɗaː
កខុប	kɑkʰop
កខ្វក់	kɑʔʋɑʔ
កង	kɑːŋ
កង់	kɑŋ
កង់បេរ៉ា	kɑŋɓeːraː
កង់ស៊ែរ	kɑŋsɛː
កង់ហ្គូរូ	kɑŋguːruː
កង្កែប	kɑŋkaep
កង្ខា	kaŋkʰaː
កង្ខើញ	kɑŋkʰaəɲ
កង្វល់	kɑŋʋɑl
កង្វិន	kɑŋʋən
កង្វះ	kɑŋʋah
កង្ហារ	kɑŋhaː
កង្ហែន	kɑŋhaen
កញ្ចក់	kɑɲcɑʔ
កញ្ចប់	kɑɲcɑp
កញ្ចាស់	kɑɲcah
កញ្ចុះ	kɑɲcoh
កញ្ចែ	kɑɲcae
កញ្ឆា	kɑɲcʰaː
កញ្ឆែត	kɑɲcʰaet
កញ្ជួ	kɑɲcuə
កញ្ជើ	kɑɲcəː
កញ្ជះ	kɑɲcĕəh
កញ្ជ្រឹល	kɑɲcrɨl
កញ្ជ្រួច	kɑɲcruəc
កញ្ជ្រោង	kɑɲcroːŋ
កញ្ញា	kaɲɲaː
កដិពន្ធ	kaʔɗepŏən
កដ្ឋមណ្ឌូ	kɑːɗmɑːnɗuː
កណិការ	kɑːnekaː
កណ្ដក	kɑnɗɑʔ
កណ្ដាប់	kɑnɗap
កណ្ដាល	kɑnɗaːl
កណ្ដាស់	kɑnɗah
កណ្ដឹង	kɑnɗəŋ
កណ្ដុក	kɑnɗok
កណ្ដុរ	kɑnɗol
កណ្ដូប	kɑnɗoup
កណ្ដួយ	kɑnɗuəj
កណ្ដៀង	kɑnɗiəŋ
កណ្ដៀត	kɑnɗiət
កណ្ដៀរ	kɑnɗiə
កណ្ដៀវ	kɑnɗiəw
កណ្ដោល	kɑnɗaol
កណ្ឌ	kan
កតញ្ញុតា	kaʔtaɲɲutaː
កតវេទី	kaʔtaʔʋeitiː
កតិកា	kaʔtekaː
កត់	kɑt
កត្តា	kɑttaː
កត្តិក	katɗək
កថា	kaʔtʰaː
កថិន	kɑtʰən
កន	kɑːn
កនិដ្ឋ	kaʔnɨt
កនិដ្ឋា	kaʔnɨttʰaː
កន្តាំង	kɑntaŋ
កន្ត្រង	kɑntrɑːŋ
កន្ត្រៃ	kɑntraj
កន្ទក់	kɑntŭəʔ
កន្ទប	kɑntɔːp
កន្ទល់	kɑntŭəl
កន្ទុយ	kɑntuj
កន្ទួត	kɑntuət
កន្ទេល	kɑnteil
កន្ទោង	kɑntoːŋ
កន្ធរ	kɑntʰɔː
កន្យា	kanjaː
កន្លង	kɑnlɑːŋ
