ئا	a
ئائىت	ʔɑʔit
ئائىلە	ʔɑʔilɛ
ئابلىز	ʔɑbliz
ئابنۇس	ʔɑbnus
ئات	ɑt
ئاتا	ʔɑtɑ
ئاتمىش	ɑtmiʃ
ئاجايىپ	ʔɑdʒɑjip
ئاجىز	ʔɑdʒiz
ئاخشام	ʔɑχʃɑm
ئاخىرەت	ʔɑχirɛt
ئادالەت	ʔɑdɑlɛt
ئادرىس	ʔɑdris
ئادىل	ʔɑdil
ئادۋوكات	ʔɑdwokɑt
ئادەت	ʔɑdɛt
ئادەم	ɑdæm
ئارزۇ	ʔɑrzu
ئارسىن	ʔɑrsin
ئارغىماق	ʔɑrʁimɑq
ئارغۇن	ʔɑrʁun
ئارقا	ʔɑrqɑ
ئارماغان	ʔɑrmɑʁɑn
ئارىفمېتىكا	ʔɑrifmetikɑ
ئارگون	ʔɑrgon
ئاز	ʔɑz
ئازات	ʔɑzɑt
ئازاپ	ʔɑzɑp
ئازوت	ʔɑzot
ئاسان	ʔɑsɑn
ئاسايىش	ʔɑsɑjiʃ
ئاستاتىن	ʔɑstɑtin
ئاسفالت	ʔɑsfɑlt
ئاسلان	ʔɑslɑn
ئاسمان	ɑsmɑn
ئاسى	ʔɑsi
ئاسىيا	ʔɑsijɑ
ئاش	ʔɑʃ
ئاشيان	ʔɑʃjɑn
ئاشپەز	ʔɑʃpɛz
ئاغ	ʔɑʁ
ئاغرىق	ʔɑʁriq
ئافغان	ʔɑfʁɑn
ئاق	ɑq
ئاقرابا	ʔɑqrɑbɑ
ئاقراپ	ʔɑqrɑp
ئاققۇ	ʔɑqqu
ئاقىۋەت	ʔɑqiwɛt
ئاكا	ʔɑkɑ
ئاكتىنىي	ʔɑktinij
ئالا	ʔɑlɑ
ئالاقە	ʔɑlɑqɛ
ئالاڭ	ʔɑlɑŋ
ئالتىنچى	ɑltintʃi
ئالتە	altæ
ئالتە	altɛ
ئالتە	ɑltæ
ئالتە	ɑltɛ
ئالقىش	ʔɑlqiʃ
ئالما	ɑlmɑ
ئالماس	ʔɑlmɑs
ئالىم	ʔɑlim
ئاليۇمىن	ʔɑljumin
ئالپ	ʔɑlp
ئالگېبرا	ʔɑlgebrɑ
ئالەت	ʔɑlɛt
ئامال	ʔɑmɑl
ئامانەت	ʔɑmɑnɛt
ئامراق	ʔɑmrɑq
ئامېرىتسىي	ʔɑmeritsij
ئانا	ɑnɑ
ئاناتومىيە	ʔɑnɑtomijɛ
ئانار	ʔɑnɑr
ئانت	ʔɑnt
ئاي	ʔɑj
ئاياز	ʔɑjɑz
ئاياق	ʔɑjɑq
ئايران	ʔɑjrɑn
ئايغىر	ʔɑjʁir
ئايماق	ʔɑjmɑq
ئاپتوموبىل	ʔɑptomobil
ئاپتوۋۇز	ʔɑptowuz
ئاپرېل	ʔɑprel
ئاپىرىن	ʔɑpirin
ئاپىيەت	ʔɑpijɛt
ئاپەت	ʔɑpɛt
ئاچا	ʔɑtʃɑ
ئاھالە	ʔɑhɑlɛ
ئاھاڭ	ʔɑhɑŋ
ئاۋارە	ʔɑwɑrɛ
ئاۋاز	ʔɑwɑz
ئاۋام	ʔɑwɑm
ئاۋغۇست	ʔɑwʁust
ئاۋۇچ	ʔɑwutʃ
ئو	o
ئوت	ʔot
ئوتتۇز	ottuz
ئوتۇن	ʔotun
ئوخشىماق	ʔoχʃimɑq
ئورتاق	ʔortɑq
ئوغا	ʔoʁɑ
ئوغرى	ʔoʁri
ئوغۇز	ʔoʁuz
ئوغۇل	oʁul
ئوق	ʔoq
ئوقۇماق	ʔoqumɑq
ئون	on
ئون	ɔn
ئونىنچى	onintʃi
ئويۇن	ʔojun
ئى	i
ئىبادەت	ʔibɑdɛt
ئىبادەتخانا	ʔibɑdɛtχɑnɑ
ئىبارە	ʔibɑrɛ
ئىبراھىم	ʔibrɑhim
ئىبرەت	ʔibrɛt
ئىبلىس	ʔiblis
ئىت	it
ئىتائەت	ʔitɑʔɛt
ئىتترىي	ʔittrij
ئىتتېربىي	ʔitterbij
ئىجات	ʔidʒɑt
ئىجتىمائىي	ʔidʒtimɑʔij
ئىرادە	ʔirɑdɛ
ئىرق	ʔirq
ئىرىدىي	ʔiridij
ئىزاھ	ʔizɑh
ئىس	ʔis
ئىستىراھەت	ʔistirɑhɛt
ئىستىسنا	ʔistisnɑ
ئىستىقبال	ʔistiqbɑl
ئىستىقلال	ʔistiqlɑl
ئىستىلا	ʔistilɑ
ئىستەك	ʔistɛk
ئىسراپ	ʔisrɑp
ئىسلاند	ʔislɑnd
ئىسيان	ʔisjɑn
ئىسيانچى	ʔisjɑntʃi
ئىسپات	ʔispɑt
ئىش	iʃ
ئىشارەت	ʔiʃɑrɛt
ئىشغال	ʔiʃʁɑl
ئىشق	ʔiʃq
ئىشىتمەك	ʔiʃitmɛk
ئىشچى	iʃtʃi
ئىشەك	ʔiʃɛk
ئىقبال	ʔiqbɑl
ئىقتىدار	ʔiqtidɑr
ئىقتىسات	ʔiqtisɑt
ئىقلىم	ʔiqlim
ئىككى	ikːi
ئىككىنچى	ikːintʃi
ئىلاج	ʔilɑdʒ
ئىلاھ	ʔilɑh
ئىلتىپات	ʔiltipɑt
ئىلىم	ʔilim
ئىلھام	ʔilhɑm
ئىم	ʔim
ئىمكان	ʔimkɑn
ئىن	ʔin
ئىنتىزام	ʔintizɑm
ئىنتىقام	ʔintiqɑm
ئىنجىل	ʔindʒil
ئىندىي	ʔindij
ئىنسانىيەت	ʔinsɑnijɛt
ئىنساپ	ʔinsɑp
ئىنكار	ʔinkɑr
ئىنى	ʔini
ئىنەك	inæk
ئىيۇل	ʔijul
ئىيۇن	ʔijun
ئىپادە	ʔipɑdɛ
ئىپتار	ʔiptɑr
ئىپپەت	ʔippɛt
ئىڭەك	ʔiŋɛk
ئىگە	ʔigɛ
ئىگەر	ʔigɛr
ئۆ	ø
ئۆت	ʔøt
ئۆز	ʔøz
ئۆستەڭ	østɛŋ
ئۆشكە	ʔøʃkɛ
ئۆكتەبر	ʔøktɛbr
ئۆكۈز	ʔøkyz
ئۆلۈم	ʔølym
ئۆي	øj
ئۆيلەر	øjlær
ئۆيلەر	øjlæː
ئۆپكە	ʔøpkɛ
ئۆچ	ʔøtʃ
ئۆچكە	ʔøtʃkɛ
ئۆگەي	ʔøgɛj
ئۇ	u
ئۇتۇق	ʔutuq
ئۇجرەت	ʔudʒrɛt
ئۇد	ʔud
ئۇرپ	ʔurp
ئۇرۇش	ʔuruʃ
ئۇرۇق	ʔuruq
ئۇزۇن	ʔuzun
ئۇستا	ʔustɑ
ئۇستات	ʔustɑt
ئۇستۇرا	ʔusturɑ
ئۇسلۇپ	ʔuslup
ئۇلار	ulɑr
ئۇلۇغ	ʔuluʁ
ئۇمۇرتقا	ʔumurtqɑ
ئۇن	ʔun
ئۇنسۇر	ʔunsur
ئۇنناپ	ʔunnɑp
ئۇنى	uni
ئۇنىڭغا	uniŋʁɑ
ئۇنىۋېرسىتېت	ʔuniwersitet
ئۇنىۋېرسىتېتى	ʔuniwersiteti
ئۇنۋان	ʔunwɑn
ئۇي	ʔuj
ئۇيغۇر	ʔujʁur
ئۇيغۇرچە	ujʁurtʃɛ
ئۇيقۇ	ʔujqu
ئۇپۇق	ʔupuq
ئۇۋا	ʔuwɑ
ئۇۋاق	ʔuwɑq
ئۈ	y
ئۈزۈك	ʔyzyk
ئۈزۈم	ʔyzym
ئۈزەڭگە	ʔyzɛŋgɛ
ئۈلپەت	ʔylpɛt
ئۈچ	ʔytʃ
ئۈچىنچى	ytʃintʃi
ئې	e
ئېتىراز	ʔetirɑz
ئېتىراپ	ʔetirɑp
ئېتىقات	ʔetiqɑt
ئېتىقاد	ʔetiqɑd
ئېتىۋار	ʔetiwɑr
ئېرا	ʔerɑ
ئېربىي	ʔerbij
ئېرىق	ʔeriq
ئېرىمەك	ʔerimɛk
ئېغىر	ʔeʁir
ئېغىرلىق	ʔeʁirliq
ئېغىز	ʔeʁiz
ئېغىل	ʔeʁil
ئېكران	ʔekrɑn
ئېكىن	ʔekin
ئېكۋاتور	ʔekwɑtor
ئېلان	ʔelɑn
ئېلىپ	ʔelip
ئېلىپبە	ʔelipbɛ
ئېلېمېنت	ʔelement
ئېنقىلاب	ʔenqilɑb
ئېنېرگىيە	ʔenergijɛ
ئېينشتېينىي	ʔejnʃtejnij
ئېيىق	ejiq
ئېپىك	ʔepik
ئېھاتە	ʔehɑtɛ
ئېھتىرام	ʔehtirɑm
ئېھتىمال	ʔehtimɑl
ئېھتىيات	ʔehtijɑt
ئېھسان	ʔehsɑn
ئە	ɛ
ئەتىۋار	ʔɛtiwɑr
ئەزان	ʔɛzɑn
ئەسل	ʔɛsl
ئەل	æl
ئەللىك	ællik̚
ئەللىك	ɛllik̚
ئەپسۇس	æpsus
ئەپەندى	ʔɛpɛndi
ئەڭ	ʔɛŋ
ئەگەر	ɛgɛr
ئەھمەد	ʔɛhmɛd
ئەھەد	ʔɛhɛd
ب	b
ب	be
باتارى	bɑtɑri
باتراق	bɑtrɑq
باتۇر	bɑtur
باج	bɑdʒ
بادام	bɑdɑm
بار	bɑr
بارماق	bɑrmɑq
بارىي	bɑrij
بازار	bɑzɑː
باشاق	bɑʃɑq
باققال	bɑqqɑl
باقى	bɑqi
بالا	bɑlɑ
بالكون	bɑlkon
بالېت	bɑlet
بانا	bɑnɑ
بانان	bɑnɑn
بانداژ	bɑndɑʒ
بايراق	bɑjrɑq
بايرام	bɑjrɑm
بايقۇش	bɑjquʃ
باپ	bɑp
باھا	bɑhɑ
بروم	brom
بوخچا	boχtʃɑ
بور	bor
بورچ	bortʃ
بوستان	bostɑn
بوسەي	bosɛj
بولكا	bolkɑ
بولۇو	boluo
بولۇپ	bolup
بومبا	bombɑ
بويۇن	bojun
بىتون	biton
بىر	bir
بىرىليانت	biriljɑnt
بىرىنچى	birintʃi
بىسمۇت	bismut
بىلەن	bilɛn
بىڭگۇر	biŋgur
بۆرەك	børɛk
بۆشۈك	bøʃyk
بۆك	bøk
بۆھران	bøhrɑn
بۇ	bu
بۇت	but
بۇتپەرەس	butpɛrɛs
بۇدجېت	buddʒet
بۇرادەر	burɑdɛr
بۇرژۇئا	burʒuʔɑ
بۇرژۇئازىيە	burʒuʔɑzijɛ
بۇرۇت	burut
بۇرۇن	burun
بۇغ	buʁ
بۇقا	buqɑ
بۇلاق	bulɑq
بۇلبۇل	bulbul
بۇلجۇڭ	buldʒuŋ
بۇلغارىيە	bulʁɑrijɛ
بۇلۇت	bulut
بۇيرۇق	bujruq
بۈيۈك	byjyk
بېركلىي	berklij
بېرىللىي	berillij
بېغىر	beʁir
بېلوك	belok
بېلىق	beliq
بېلىقچى	beliqtʃi
بېلەت	belɛt
بېنزىن	benzin
بېگېموت	begemot
بەختىيار	bɛχtijɑr
بەخش	bɛχʃ
بەدەل	bɛdɛl
بەدەن	bɛdɛn
بەركە	bɛrkɛ
بەرمەك	bɛrmɛk
بەز	bɛz
بەسەي	bɛsɛj
بەش	bæʃ
بەش	bɛʃ
بەشىنچى	bɛʃintʃi
بەك	bɛk
بەل	bɛl
بەلغەم	bɛlʁɛm
بەنزە	bɛnzɛ
بەنسىيۇەن	bɛnsijuɛn
بەنسىچۇ	bɛnsitʃu
بەياز	bɛjɑz
بەگ	bɛg
ت	t
ت	te
تار	tɑr
تارازا	tɑrɑzɑ
تاراۋى	tɑrɑwi
تاغ	tɑʁ
تاماق	tɑmɑq
تاملار	tʰamlɑː
تاملار	tʰɑmlɑr
ترامپ	trɑmp
تورۇق	toruq
توسۇن	tosun
توقسان	toqsɑn
توققۇز	toqquz
توققۇز	tɔqquz
