автобус	avtoˈbus
агач	agatʃ
адам	adam
ай	aj
ак	ak
акам	aqam
аксам	aqsam
акыл	aˈkɯl
алимурза	aliːmurza
аллергия	alerˈgija
алынув	aːlɯnu
алып	aɫɯ̞p
ама	aama
амал	amau
ана	ana
ана	aˈna
анализ	aˈnaliz
анасыз	anasoz
анда	anta
анъсыз	aŋsɯz
аптека	apˈteka
ара	fara
арба	aɾba
армыт	ɑrmɯ̞t
артув	artu
артык	ɑrtɯ̞k
асыл	aːsl
ат	at
ата	ata
ата	aˈta
атама	atɑma
атан	aːtan
атлетика	atˈletika
ауыз	aˈwɯz
ауыл	aˈwɯl
аш	aʃ
аша	aʂa
ашув	aʃu
аьл	ˈal
аьли	ʔali
аэропорт	aeroˈport
аяз	ajas
аяк	aˈjak
бадам	padam
бактерия	bakˈterija
бала	baˈla
балык	baˈlɯk
бар	bar
баскетбол	basketˈbol
бассейн	basˈsejn
баш	baʃ
бег	beg
бил	bil
болезнь	boˈleznʲ
больница	bolʲˈnitsa
бурун	buˈrun
бөлме	bølˈme
вакът	vaqɯt
велосипед	velosiˈped
вирус	viˈrus
витамин	vitaˈmin
вокзал	vokˈzal
врач	vratʃ
время	vrʲeˈmja
гол	gol
дары	daˈrɯ
ден	den
день	denʲ
депрессия	depreˈssija
диагноз	diagˈnoz
диета	diˈeta
дос	dos
душман	duʃˈman
ес	jes
есеп	eˈsep
жазы	ʒaˈzɯ
жат	ʒat
жаш	ʒaʃ
же	ʒe
жемиш	ʒeˈmiʃ
жер	ʒer
жол	ʒol
журек	ʒuˈrek
зал	zal
здоровье	zdoroˈvje
иммунитет	immuˈnitet
интернет	interˈnet
инфекция	inˈfektsija
ит	it
ич	itʃ
ишле	iʃˈle
кагаз	kaˈgaz
калем	kaˈlem
кан	kan
кара	kaˈra
карт	kart
кел	kel
кинотеатр	kinoteˈatr
китап	kiˈtap
коз	koz
кой	koj
кок	kok
кол	kol
команда	koˈmanda
компьютер	kompjuˈter
концерт	konˈtsert
кор	kor
корабль	koˈrablʲ
кофе	koˈfe
кубок	kuˈbok
кулак	kuˈlak
кун	kun
кус	kus
кызыл	kɯˈzɯl
көкөніс	køkøˈnis
көпір	køˈpir
лекарство	leˈkarstvo
лечение	leˈtʃenije
машин	maˈʃin
медаль	meˈdalʲ
медсестра	medˈsestra
мектеп	mekˈtep
месяц	meˈsʲats
минута	miˈnuta
музей	muˈzej
намаз	namas
нан	nan
неделя	neˈdelʲa
ночь	notʃ
ойна	ojˈna
ойын	oˈjɯn
оку	oˈku
олимпиада	olimˈpiada
операция	opeˈratsija
орман	orˈman
орындык	orɯnˈdɯk
отыр	oˈtɯr
оян	oˈjan
парк	park
плавание	plaˈvanije
поезд	poˈezd
профилактика	profiˈlaktika
рух	rux
самолет	samoˈlet
сары	sara
сары	saˈrɯ
сез	sez
секунда	seˈkunda
сила	siˈla
скорость	skoˈrostʲ
сойле	sojˈle
сок	sok
сон	son
спорт	sport
стадион	staˈdion
стол	stol
стресс	stres
сув	suv
сув	suw
судья	sudʲˈja
суук	suˈuk
сют	syt
тав	taw
такси	takˈsi
тал	tau
тамак	taˈmak
таныш	taˈnɯʃ
театр	teˈatr
телевизор	televiˈzor
телефон	teleˈfon
теннис	tenˈnis
тері	teˈri
тиш	tiʃ
тограк	toɣrak
тренажер	trenaˈʒer
тур	tur
тынч	tɯntʃ
тыт	tat
төсек	tøˈsek
уй	uj
уйке	ujˈke
университет	universiˈtet
унут	uˈnut
усталость	usˈtalostʲ
уьй	yj
уьй	yˈj
уьйлен	yˈjlen
уьйрек	yˈjrek
уьйрен	yˈjren
фестиваль	festiˈvalʲ
футбол	futˈbol
час	tʃas
чач	tʃatʃ
чемпионат	tʃempiˈonat
шай	ʃaj
шкаф	ʃkaf
шумлык	ʃumˈlɯk
шылма	ʃɯ̞ɫma
ыстык	ɯsˈtɯk
энергия	eˈnergija
эт	et
қала	qaˈla
үй	yj
